Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,399.049988,401.940002,396.880005,401.679993,395.482391,40575900
2022-01-04,402.239990,402.279999,393.290009,396.470001,390.352783,58027200
2022-01-05,394.739990,395.890015,384.029999,384.290009,378.360718,75739800
2022-01-06,382.420013,387.350006,380.130005,384.019989,378.094849,70814300
2022-01-07,384.029999,385.760010,378.040009,379.859985,373.998993,72652300
2022-01-10,374.820007,380.640015,369.309998,380.109985,374.245178,91770500
2022-01-11,379.359985,385.989990,377.220001,385.820007,379.867126,68295700
2022-01-12,388.459991,390.200012,385.010010,387.350006,381.373505,54576400
2022-01-13,388.769989,389.470001,376.700012,377.660004,371.833008,77994000
2022-01-14,375.070007,380.350006,374.859985,380.010010,374.146759,80121200
2022-01-18,374.040009,376.220001,369.769989,370.549988,364.832672,75450900
2022-01-19,372.149994,374.690002,366.209991,366.480011,360.825531,81791500
2022-01-20,369.790009,373.869995,361.170013,361.720001,356.138977,88610700
2022-01-21,359.470001,362.179993,351.399994,351.690002,346.263672,143388900
2022-01-24,345.910004,353.980011,334.149994,353.299988,347.848846,198685800
2022-01-25,346.670013,351.029999,341.679993,345.109985,339.785187,124398400
2022-01-26,352.910004,356.880005,340.779999,344.570007,339.253540,146559500
2022-01-27,349.399994,351.269989,340.049988,341.100006,335.837128,95255700
2022-01-28,343.029999,352.019989,337.950012,351.799988,346.371979,108167900
2022-01-31,353.200012,363.649994,351.519989,363.049988,357.448364,94326400
2022-02-01,364.429993,366.190002,359.140015,365.519989,359.880280,74433000
2022-02-02,369.760010,370.100006,364.290009,368.489990,362.804474,78777100
2022-02-03,358.529999,361.929993,352.459991,353.549988,348.095032,95384800
2022-02-04,354.079987,361.399994,351.970001,358.010010,352.486145,86318300
2022-02-07,358.619995,361.049988,353.839996,355.130005,349.650635,58198100
2022-02-08,353.959991,360.239990,352.799988,359.119995,353.579041,64720900
2022-02-09,363.760010,366.809998,362.119995,366.730011,361.071625,55766400
2022-02-10,359.519989,366.489990,356.540009,358.429993,352.899658,112468500
2022-02-11,358.429993,360.070007,345.799988,347.059998,341.705109,101569100
2022-02-14,346.489990,350.980011,343.890015,347.489990,342.128510,80254400
2022-02-15,352.910004,356.369995,351.820007,356.130005,350.635223,55128800
2022-02-16,353.820007,357.089996,350.709991,356.040009,350.546570,58947100
2022-02-17,352.739990,353.459991,345.019989,345.450012,340.119965,61801400
2022-02-18,346.410004,346.809998,339.140015,341.510010,336.240784,80001500
2022-02-22,338.489990,344.040009,334.350006,338.079987,332.863647,85967100
2022-02-23,341.320007,342.179993,329.100006,329.420013,324.337341,86215400
2022-02-24,318.839996,341.040009,318.260010,340.489990,335.236481,130614100
2022-02-25,341.309998,345.980011,337.390015,345.769989,340.435028,78842100
2022-02-28,342.510010,348.540009,341.320007,346.799988,341.449097,77515500
2022-03-01,345.750000,348.079987,338.899994,341.489990,336.221039,67407000
2022-03-02,343.079987,348.589996,340.239990,347.220001,341.862701,70609000
2022-03-03,349.929993,350.040009,340.350006,342.260010,336.979156,71089400
2022-03-04,339.839996,341.309998,334.920013,337.299988,332.095734,76936300
2022-03-07,337.290009,338.480011,324.649994,324.859985,319.847656,89933800
2022-03-08,324.049988,333.209991,319.940002,323.350006,318.360962,116153900
2022-03-09,331.750000,336.380005,329.089996,334.989990,329.821381,64723400
2022-03-10,330.820007,332.510010,326.709991,331.269989,326.158783,69362700
2022-03-11,334.320007,334.640015,323.899994,324.399994,319.394714,66228400
2022-03-14,323.130005,326.589996,317.450012,318.170013,313.260864,79802600
2022-03-15,320.880005,328.950012,319.230011,328.149994,323.086884,76471000
2022-03-16,332.170013,340.440002,328.399994,340.320007,335.069092,105243000
2022-03-17,338.369995,344.500000,337.040009,344.440002,339.125580,67810000
2022-03-18,342.739990,351.790009,341.549988,351.489990,346.066772,85446300
2022-03-21,350.200012,352.480011,345.579987,350.079987,345.104645,73799100
2022-03-22,350.589996,357.850006,350.200012,356.959991,351.886871,63345900
2022-03-23,354.010010,357.660004,351.769989,351.829987,346.829803,70615500
2022-03-24,353.799988,359.700012,351.589996,359.649994,354.538666,53555300
2022-03-25,359.589996,360.670013,354.940002,359.350006,354.242920,57584200
2022-03-28,359.339996,365.010010,358.070007,364.910004,359.723907,56833900
2022-03-29,368.899994,371.829987,366.059998,371.190002,365.914642,68073000
2022-03-30,369.279999,370.980011,365.570007,367.089996,361.872894,68757700
2022-03-31,367.239990,367.600006,361.679993,362.540009,357.387604,67011400
2022-04-01,362.809998,363.609985,358.589996,361.850006,356.707367,54527800
2022-04-04,362.709991,369.309998,362.440002,369.299988,364.051514,45950200
2022-04-05,367.809998,368.540009,359.929993,361.100006,355.968048,62738700
2022-04-06,355.649994,356.779999,350.559998,353.260010,348.239441,90077100
2022-04-07,352.239990,356.350006,348.690002,354.100006,349.067566,63777400
2022-04-08,352.320007,353.089996,348.500000,349.149994,344.187836,61956100
2022-04-11,344.809998,345.750000,340.540009,340.890015,336.045288,66107400
2022-04-12,345.760010,347.690002,338.040009,339.450012,334.625763,72790200
2022-04-13,339.799988,347.429993,339.059998,346.350006,341.427643,61367800
2022-04-14,346.440002,346.970001,338.209991,338.429993,333.620178,73519400
2022-04-18,337.350006,341.040009,335.790009,338.690002,333.876526,58560600
2022-04-19,338.029999,346.850006,336.980011,346.260010,341.338959,56515700
2022-04-20,347.089996,347.559998,339.959991,341.209991,336.360718,65500000
2022-04-21,345.190002,347.869995,333.200012,334.149994,329.401062,75801000
2022-04-22,334.309998,335.559998,324.959991,325.399994,320.775391,82562100
2022-04-25,323.730011,329.899994,322.429993,329.579987,324.895966,101755900
2022-04-26,327.470001,327.660004,316.859985,317.140015,312.632843,105819600
2022-04-27,317.239990,322.880005,315.000000,316.760010,312.258240,111204200
2022-04-28,321.850006,329.890015,317.519989,328.010010,323.348328,99450000
2022-04-29,323.700012,327.230011,312.600006,313.250000,308.798096,91977900
2022-05-02,312.829987,318.720001,309.649994,318.480011,313.953735,115511800
2022-05-03,318.500000,321.170013,315.980011,318.820007,314.288910,78185500
2022-05-04,319.309998,330.290009,313.890015,329.600006,324.915802,116083400
2022-05-05,325.170013,325.250000,309.619995,313.000000,308.551636,154607400
2022-05-06,310.950012,315.089996,305.109985,309.250000,304.854919,139572800
2022-05-09,303.480011,309.350006,295.720001,297.149994,292.926880,113387300
2022-05-10,304.510010,305.760010,296.570007,300.760010,296.485504,124124600
2022-05-11,298.440002,304.089996,290.950012,291.839996,287.692352,140326100
2022-05-12,287.450012,295.750000,284.940002,291.149994,287.012146,120910900
2022-05-13,295.720001,303.000000,294.079987,301.940002,297.648865,83684900
2022-05-16,300.149994,302.260010,297.130005,298.440002,294.198547,59190400
2022-05-17,304.450012,306.559998,300.549988,306.170013,301.818726,62715300
2022-05-18,301.540009,302.250000,289.850006,291.140015,287.002319,79477100
2022-05-19,289.290009,294.390015,287.579987,289.579987,285.464478,79920700
2022-05-20,293.130005,293.799988,280.209991,288.679993,284.577240,91764200
2022-05-23,289.750000,293.869995,287.290009,293.480011,289.309052,63648400
2022-05-24,288.130005,288.859985,282.250000,287.239990,283.157715,73491100
2022-05-25,285.709991,293.390015,285.500000,291.260010,287.120636,67144500
2022-05-26,290.440002,300.920013,290.149994,299.329987,295.075897,59462200
2022-05-27,302.540009,309.250000,302.420013,309.100006,304.707092,66985600
2022-05-31,309.070007,311.329987,304.329987,308.279999,303.898712,60968300
2022-06-01,310.470001,312.649994,303.730011,306.000000,301.651123,65341700
2022-06-02,304.850006,314.559998,303.399994,314.380005,309.912018,59291300
2022-06-03,309.029999,310.470001,304.920013,306.200012,301.848297,60914700
2022-06-06,310.750000,312.350006,305.619995,307.220001,302.853790,51785000
2022-06-07,303.809998,310.670013,302.690002,309.869995,305.466125,44900300
2022-06-08,309.049988,311.720001,306.769989,307.640015,303.267822,38342100
2022-06-09,305.910004,309.049988,299.230011,299.399994,295.144958,55900500
2022-06-10,293.649994,294.869995,288.380005,288.839996,284.735016,85963500
2022-06-13,279.750000,282.339996,274.529999,275.410004,271.495850,94442000
2022-06-14,277.660004,278.660004,273.339996,275.910004,271.988770,64697500
2022-06-15,279.420013,286.829987,276.609985,282.799988,278.780823,86051400
2022-06-16,275.589996,276.059998,269.279999,271.390015,267.533020,81910300
2022-06-17,272.179993,277.190002,270.510010,274.690002,270.786072,82703400
2022-06-21,278.750000,283.450012,278.640015,281.079987,277.617889,51633700
2022-06-22,278.519989,285.179993,277.910004,280.670013,277.212952,67472900
2022-06-23,283.209991,285.720001,280.309998,284.850006,281.341461,57457800
2022-06-24,287.739990,295.040009,287.500000,294.609985,290.981262,58422300
2022-06-27,296.000000,296.579987,291.290009,292.450012,288.847870,54151500
2022-06-28,293.000000,295.649994,283.350006,283.540009,280.047607,61609800
2022-06-29,283.399994,285.339996,280.839996,283.799988,280.304382,57302700
2022-06-30,280.750000,283.940002,275.779999,280.279999,276.827759,79313600
2022-07-01,278.950012,282.529999,277.029999,282.130005,278.654999,56675100
2022-07-05,278.309998,287.079987,276.750000,286.959991,283.425476,61829300
2022-07-06,287.350006,290.950012,285.589996,288.799988,285.242798,63194700
2022-07-07,289.630005,295.700012,289.630005,294.980011,291.346710,56620100
2022-07-08,292.079987,296.750000,291.119995,295.350006,291.712158,59895500
2022-07-11,292.880005,293.109985,288.140015,289.040009,285.479858,55273900
2022-07-12,290.320007,292.279999,284.609985,286.239990,282.714355,55797100
